기준일자,신규보증취급구분,고객분류,여부구분,기업수
2016-06-01,보증잔액,시장안정기능,부,9
2016-06-01,보증잔액,시장안정기능,전체,6
2016-06-01,보증잔액,시장안정기능,여,5
2016-06-01,보증잔액,시장안정기능,부,1
2016-06-01,보증잔액,성장잠재기업,전체,541
2016-06-01,보증잔액,성장잠재기업,여,360
2016-06-01,보증잔액,성장잠재기업,부,181
2016-06-01,보증잔액,사회공익기업,전체,3
2016-06-01,보증잔액,사회공익기업,여,1
2016-06-01,보증잔액,사회공익기업,부,2
2016-06-01,보증잔액,창업초기기업,전체,239
2016-06-01,보증잔액,창업초기기업,여,152
2016-06-01,보증잔액,창업초기기업,부,87
2016-06-01,보증잔액,시장선도영역,전체,71
2016-06-01,보증잔액,시장선도영역,여,69
2016-06-01,보증잔액,시장선도영역,부,2
2016-06-01,보증잔액,시장선도영역,전체,132
2016-06-01,보증잔액,시장선도영역,여,109
2016-06-01,보증잔액,시장선도영역,부,23
2016-06-01,보증잔액,혁신선도영역,전체,316
2016-06-01,보증잔액,혁신선도영역,여,262
2016-06-01,보증잔액,혁신선도영역,부,54
2016-06-01,보증잔액,혁신선도영역,전체,81
2016-06-01,보증잔액,혁신선도영역,여,28
2016-06-01,보증잔액,혁신선도영역,부,53
2016-06-01,보증잔액,글로벌선도영역,전체,33
2016-06-01,보증잔액,글로벌선도영역,여,32
2016-06-01,보증잔액,글로벌선도영역,부,1
2016-06-01,보증잔액,글로벌선도영역,전체,10
2016-06-01,보증잔액,글로벌선도영역,여,5
2016-06-01,보증잔액,글로벌선도영역,부,5
2016-06-01,보증잔액,경쟁력향상기업,전체,6
2016-06-01,보증잔액,경쟁력향상기업,여,1
2016-06-01,보증잔액,경쟁력향상기업,부,5
2016-06-01,보증잔액,경쟁력향상기업,전체,27
2016-06-01,보증잔액,경쟁력향상기업,여,27
2016-06-01,보증잔액,성숙기기업,전체,266
2016-06-01,보증잔액,성숙기기업,여,251
2016-06-01,보증잔액,성숙기기업,부,15
2016-06-01,보증잔액,기타일반기업,전체,176
2016-06-01,보증잔액,기타일반기업,여,176
2016-06-01,보증잔액,구조조정기업,전체,13
2016-06-01,보증잔액,구조조정기업,여,13
2016-06-01,보증잔액,선별지원기업,전체,62
2016-06-01,보증잔액,선별지원기업,여,59
2016-06-01,보증잔액,선별지원기업,부,3
2016-06-01,보증잔액,선별지원기업,전체,2
2016-06-01,보증잔액,선별지원기업,부,2
2016-06-01,보증잔액,영세소기업,전체,445
2016-06-01,보증잔액,영세소기업,여,431
2016-06-01,보증잔액,영세소기업,부,14
2016-06-01,보증잔액,성장잠재기업,전체,1
2016-06-01,보증잔액,성장잠재기업,여,1
2016-06-01,보증잔액,시장선도영역,전체,2
2016-06-01,보증잔액,시장선도영역,여,2
2016-06-01,보증잔액,성숙기기업,전체,2
2016-06-01,보증잔액,성숙기기업,여,2
2016-06-01,보증잔액,기타일반기업,전체,20
2016-06-01,보증잔액,기타일반기업,여,20
2016-06-01,보증잔액,영세소기업,전체,4
2016-06-01,보증잔액,영세소기업,여,4
2016-06-01,보증잔액,성장잠재기업,전체,1
2016-06-01,보증잔액,성장잠재기업,여,1
2016-06-01,보증잔액,시장선도영역,전체,2
2016-06-01,보증잔액,시장선도영역,여,2
2016-06-01,보증잔액,성숙기기업,전체,2
2016-06-01,보증잔액,성숙기기업,여,2
2016-06-01,보증잔액,기타일반기업,전체,20
2016-06-01,보증잔액,기타일반기업,여,20
2016-06-01,보증잔액,영세소기업,전체,4
2016-06-01,보증잔액,영세소기업,여,4
2016-06-01,보증취급,시장안정기능,전체,2
2016-06-01,보증취급,시장안정기능,부,2
2016-06-01,보증취급,시장안정기능,전체,4
2016-06-01,보증취급,시장안정기능,여,4
2016-06-01,보증취급,성장잠재기업,전체,268
2016-06-01,보증취급,성장잠재기업,여,176
2016-06-01,보증취급,성장잠재기업,부,92
2016-06-01,보증취급,사회공익기업,전체,1
2016-06-01,보증취급,사회공익기업,부,1
2016-06-01,보증취급,창업초기기업,전체,117
2016-06-01,보증취급,창업초기기업,여,77
2016-06-01,보증취급,창업초기기업,부,42
2016-06-01,보증취급,시장선도영역,전체,36
2016-06-01,보증취급,시장선도영역,여,35
2016-06-01,보증취급,시장선도영역,부,1
2016-06-01,보증취급,시장선도영역,전체,78
2016-06-01,보증취급,시장선도영역,여,67
2016-06-01,보증취급,시장선도영역,부,11
2016-06-01,보증취급,혁신선도영역,전체,160
2016-06-01,보증취급,혁신선도영역,여,125
2016-06-01,보증취급,혁신선도영역,부,35
2016-06-01,보증취급,혁신선도영역,전체,53
2016-06-01,보증취급,혁신선도영역,여,18
2016-06-01,보증취급,혁신선도영역,부,35
2016-06-01,보증취급,글로벌선도영역,전체,22
2016-06-01,보증취급,글로벌선도영역,여,20
2016-06-01,보증취급,글로벌선도영역,부,2
2016-06-01,보증취급,글로벌선도영역,전체,6
2016-06-01,보증취급,글로벌선도영역,여,2
2016-06-01,보증취급,글로벌선도영역,부,4
2016-06-01,보증취급,경쟁력향상기업,전체,3
2016-06-01,보증취급,경쟁력향상기업,부,3
2016-06-01,보증취급,경쟁력향상기업,전체,13
2016-06-01,보증취급,경쟁력향상기업,여,13
2016-06-01,보증취급,성숙기기업,전체,138
2016-06-01,보증취급,성숙기기업,여,132
2016-06-01,보증취급,성숙기기업,부,6
2016-06-01,보증취급,기타일반기업,전체,8
2016-06-01,보증취급,기타일반기업,여,8
2016-06-01,보증취급,기타일반기업,전체,88
2016-06-01,보증취급,기타일반기업,여,88
2016-06-01,보증취급,구조조정기업,전체,3
2016-06-01,보증취급,구조조정기업,여,3
2016-06-01,보증취급,선별지원기업,전체,26
2016-06-01,보증취급,선별지원기업,여,25
2016-06-01,보증취급,선별지원기업,부,1
2016-06-01,보증취급,영세소기업,전체,187
2016-06-01,보증취급,영세소기업,여,182
2016-06-01,보증취급,영세소기업,부,5
2016-06-01,보증취급,시장안정기능,전체,2
2016-06-01,보증취급,시장안정기능,부,2
2016-06-01,보증취급,시장안정기능,전체,4
2016-06-01,보증취급,시장안정기능,여,4
2016-06-01,보증취급,성장잠재기업,전체,268
2016-06-01,보증취급,성장잠재기업,여,176
2016-06-01,보증취급,성장잠재기업,부,92
2016-06-01,보증취급,사회공익기업,전체,1
2016-06-01,보증취급,사회공익기업,부,1
2016-06-01,보증취급,창업초기기업,전체,117
2016-06-01,보증취급,창업초기기업,여,77
2016-06-01,보증취급,창업초기기업,부,42
2016-06-01,보증취급,시장선도영역,전체,36
2016-06-01,보증취급,시장선도영역,여,35
2016-06-01,보증취급,시장선도영역,부,1
2016-06-01,보증취급,시장선도영역,전체,78
2016-06-01,보증취급,시장선도영역,여,67
2016-06-01,보증취급,시장선도영역,부,11
2016-06-01,보증취급,혁신선도영역,전체,160
2016-06-01,보증취급,혁신선도영역,여,125
2016-06-01,보증취급,혁신선도영역,부,35
2016-06-01,보증취급,혁신선도영역,전체,53
2016-06-01,보증취급,혁신선도영역,여,18
2016-06-01,보증취급,혁신선도영역,부,35
2016-06-01,보증취급,글로벌선도영역,전체,22
2016-06-01,보증취급,글로벌선도영역,여,20
2016-06-01,보증취급,글로벌선도영역,부,2
2016-06-01,보증취급,글로벌선도영역,전체,6
2016-06-01,보증취급,글로벌선도영역,여,2
2016-06-01,보증취급,글로벌선도영역,부,4
2016-06-01,보증취급,경쟁력향상기업,전체,3
2016-06-01,보증취급,경쟁력향상기업,부,3
2016-06-01,보증취급,경쟁력향상기업,전체,13
2016-06-01,보증취급,경쟁력향상기업,여,13
2016-06-01,보증취급,성숙기기업,전체,138
2016-06-01,보증취급,성숙기기업,여,132
2016-06-01,보증취급,성숙기기업,부,6
2016-06-01,보증취급,기타일반기업,전체,8
2016-06-01,보증취급,기타일반기업,여,8
2016-06-01,보증취급,기타일반기업,전체,88
2016-06-01,보증취급,기타일반기업,여,88
2016-06-01,보증취급,구조조정기업,전체,3
2016-06-01,보증취급,구조조정기업,여,3
2016-06-01,보증취급,선별지원기업,전체,26
2016-06-01,보증취급,선별지원기업,여,25
2016-06-01,보증취급,선별지원기업,부,1
2016-06-01,보증취급,영세소기업,전체,187
2016-06-01,보증취급,영세소기업,여,182
2016-06-01,보증취급,영세소기업,부,5
2016-06-01,보증취급,시장안정기능,전체,2
2016-06-01,보증취급,시장안정기능,부,2
2016-06-01,보증취급,시장안정기능,전체,4
2016-06-01,보증취급,시장안정기능,여,4
2016-06-01,보증취급,성장잠재기업,전체,268
2016-06-01,보증취급,성장잠재기업,여,176
2016-06-01,보증취급,성장잠재기업,부,92
2016-06-01,보증취급,사회공익기업,전체,1
2016-06-01,보증취급,사회공익기업,부,1
2016-06-01,보증취급,창업초기기업,전체,117
2016-06-01,보증취급,창업초기기업,여,77
2016-06-01,보증취급,창업초기기업,부,42
2016-06-01,보증취급,시장선도영역,전체,36
2016-06-01,보증취급,시장선도영역,여,35
2016-06-01,보증취급,시장선도영역,부,1
2016-06-01,보증취급,시장선도영역,전체,78
2016-06-01,보증취급,시장선도영역,여,67
2016-06-01,보증취급,시장선도영역,부,11
2016-06-01,보증취급,혁신선도영역,전체,160
2016-06-01,보증취급,혁신선도영역,여,125
2016-06-01,보증취급,혁신선도영역,부,35
