sche_date,stadium_id, gubun, hometeam_id, awayteam_id, home_score, away_score
'B02','2012-08-18','Y','K08','K10',3,1
'B04','2012-08-24','Y','K02','K01',1,1
'D03','2012-08-24','Y','K05','K03',3,3
'B02','2012-08-24','Y','K08','K06',4,3
'D02','2012-08-25','Y','K10','K04',1,1
'B05','2012-08-25','Y','K09','K07',1,1
'C06','2012-08-28','Y','K03','K02',0,0
'C02','2012-08-28','Y','K06','K05',1,1
'B01','2012-08-28','Y','K04','K08',2,3
'B05','2012-08-28','Y','K09','K10',2,0
'D02','2012-09-01','Y','K10','K01',2,3
'D01','2012-09-01','Y','K07','K03',0,1
'B04','2012-09-01','Y','K02','K06',1,1
'D03','2012-09-01','Y','K05','K08',3,3
'B01','2012-09-01','Y','K04','K09',2,1)
 
